Title,Type,Service,Genre,IMDB,ReelGood,Released Year,Seasons
Twin Peaks,tv,Hulu,Horror,8.8,89.0,1990,3.0
Archer,tv,Hulu,Action & Adventure,8.6,89.0,2009,11.0
Archer,tv,Hulu,Comedy,8.6,89.0,2009,11.0
Archer,tv,Hulu,Animation,8.6,89.0,2009,11.0
Lucifer,tv,Netflix,Crime,8.2,91.0,2016,5.0
Lucifer,tv,Netflix,Fantasy,8.2,91.0,2016,5.0
Lucifer,tv,Netflix,Science-Fiction,8.2,91.0,2016,5.0
Modern Family,tv,Hulu,Romance,8.4,90.0,2009,
Modern Family,tv,Hulu,Family,8.4,90.0,2009,
Modern Family,tv,Hulu,Drama,8.4,90.0,2009,
Modern Family,tv,Hulu,Comedy,8.4,90.0,2009,
Seinfeld,tv,Hulu,Stand-up & Talk,8.8,89.0,1989,9.0
Seinfeld,tv,Hulu,Comedy,8.8,89.0,1989,9.0
My Hero Academia,tv,Hulu,Anime,8.5,88.0,2016,5.0
My Hero Academia,tv,Hulu,Action & Adventure,8.5,88.0,2016,5.0
My Hero Academia,tv,Hulu,Animation,8.5,88.0,2016,5.0
It's Always Sunny in Philadelphia,tv,Hulu,Comedy,8.8,90.0,2005,15.0
The Good Place,tv,Netflix,Drama,8.2,89.0,2016,4.0
The Good Place,tv,Netflix,Comedy,8.2,89.0,2016,4.0
The Good Place,tv,Netflix,Fantasy,8.2,89.0,2016,4.0
The Witcher,tv,Netflix,Drama,8.2,89.0,2019,2.0
The Witcher,tv,Netflix,Action & Adventure,8.2,89.0,2019,2.0
The Witcher,tv,Netflix,Fantasy,8.2,89.0,2019,2.0
Fullmetal Alchemist: Brotherhood,tv,Netflix,Anime,9.1,89.0,2009,1.0
Fullmetal Alchemist: Brotherhood,tv,Netflix,Action & Adventure,9.1,89.0,2009,1.0
Fullmetal Alchemist: Brotherhood,tv,Netflix,Animation,9.1,89.0,2009,1.0
Fullmetal Alchemist: Brotherhood,tv,Hulu,Anime,9.1,89.0,2009,1.0
Fullmetal Alchemist: Brotherhood,tv,Hulu,Action & Adventure,9.1,89.0,2009,1.0
Fullmetal Alchemist: Brotherhood,tv,Hulu,Animation,9.1,89.0,2009,1.0
Community,tv,Netflix,Comedy,8.5,90.0,2009,6.0
Community,tv,Hulu,Comedy,8.5,90.0,2009,6.0
Ozark,tv,Netflix,Crime,8.4,89.0,2017,3.0
Ozark,tv,Netflix,Drama,8.4,89.0,2017,3.0
Ozark,tv,Netflix,Thriller,8.4,89.0,2017,3.0
Schitt's Creek,tv,Netflix,Comedy,8.4,87.0,2015,
How I Met Your Mother,tv,Hulu,Romance,8.3,89.0,2005,9.0
How I Met Your Mother,tv,Hulu,Comedy,8.3,89.0,2005,9.0
The Last Dance,tv,Netflix,History,9.2,90.0,2020,1.0
The Last Dance,tv,Netflix,Biography,9.2,90.0,2020,1.0
The Last Dance,tv,Netflix,Documentary,9.2,90.0,2020,1.0
House of Cards,tv,Netflix,Crime,8.7,89.0,2013,6.0
House of Cards,tv,Netflix,Drama,8.7,89.0,2013,6.0
House of Cards,tv,Netflix,Sport,8.7,89.0,2013,6.0
Shameless,tv,Netflix,Drama,8.6,90.0,2011,11.0
Shameless,tv,Netflix,Comedy,8.6,90.0,2011,11.0
The Umbrella Academy,tv,Netflix,Drama,8.0,90.0,2019,2.0
The Umbrella Academy,tv,Netflix,Action & Adventure,8.0,90.0,2019,2.0
The Umbrella Academy,tv,Netflix,Comedy,8.0,90.0,2019,2.0
Outlander,tv,Netflix,Drama,8.4,88.0,2014,6.0
Outlander,tv,Netflix,Fantasy,8.4,88.0,2014,6.0
Outlander,tv,Netflix,Science-Fiction,8.4,88.0,2014,6.0
The 100,tv,Netflix,Drama,7.7,89.0,2014,7.0
The 100,tv,Netflix,Action & Adventure,7.7,89.0,2014,7.0
The 100,tv,Netflix,Science-Fiction,7.7,89.0,2014,7.0
The Handmaid's Tale,tv,Hulu,Drama,8.5,88.0,2017,4.0
The Handmaid's Tale,tv,Hulu,Science-Fiction,8.5,88.0,2017,4.0
Hannibal,tv,Netflix,Crime,8.5,89.0,2013,3.0
Hannibal,tv,Netflix,Drama,8.5,89.0,2013,3.0
Hannibal,tv,Netflix,Horror,8.5,89.0,2013,3.0
The Blacklist,tv,Netflix,Crime,8.0,88.0,2013,
The Blacklist,tv,Netflix,Action & Adventure,8.0,88.0,2013,
The Blacklist,tv,Netflix,Thriller,8.0,88.0,2013,
Gravity Falls,tv,Disney+,Action & Adventure,8.9,87.0,2012,3.0
Gravity Falls,tv,Disney+,Comedy,8.9,87.0,2012,3.0
Gravity Falls,tv,Disney+,Fantasy,8.9,87.0,2012,3.0
Gravity Falls,tv,Disney+,Animation,8.9,87.0,2012,3.0
Gravity Falls,tv,Hulu,Action & Adventure,8.9,87.0,2012,3.0
Gravity Falls,tv,Hulu,Comedy,8.9,87.0,2012,3.0
Gravity Falls,tv,Hulu,Fantasy,8.9,87.0,2012,3.0
Gravity Falls,tv,Hulu,Animation,8.9,87.0,2012,3.0
Grey's Anatomy,tv,Netflix,Romance,7.6,88.0,2005,16.0
Grey's Anatomy,tv,Netflix,Drama,7.6,88.0,2005,16.0
Grey's Anatomy,tv,Hulu,Romance,7.6,88.0,2005,16.0
Grey's Anatomy,tv,Hulu,Drama,7.6,88.0,2005,16.0
Futurama,tv,Hulu,Comedy,8.4,88.0,1999,11.0
Futurama,tv,Hulu,Science-Fiction,8.4,88.0,1999,11.0
Futurama,tv,Hulu,Animation,8.4,88.0,1999,11.0
Sons of Anarchy,tv,Hulu,Crime,8.6,88.0,2008,7.0
Sons of Anarchy,tv,Hulu,Drama,8.6,88.0,2008,7.0
Sons of Anarchy,tv,Hulu,Thriller,8.6,88.0,2008,7.0
When They See Us,tv,Netflix,Biography,8.9,88.0,2019,1.0
When They See Us,tv,Netflix,Thriller,8.9,88.0,2019,1.0
The Vampire Diaries,tv,Netflix,Drama,7.7,88.0,2009,12.0
The Vampire Diaries,tv,Netflix,Fantasy,7.7,88.0,2009,12.0
The Vampire Diaries,tv,Netflix,Horror,7.7,88.0,2009,12.0
Prison Break,tv,Hulu,Crime,8.3,88.0,2005,6.0
Prison Break,tv,Hulu,Drama,8.3,88.0,2005,6.0
Prison Break,tv,Hulu,Action & Adventure,8.3,88.0,2005,6.0
Sacred Games,tv,Netflix,Crime,8.7,87.0,2018,2.0
Sacred Games,tv,Netflix,Drama,8.7,87.0,2018,2.0
Sacred Games,tv,Netflix,Action & Adventure,8.7,87.0,2018,2.0
The Crown,tv,Netflix,History,8.7,88.0,2016,4.0
The Crown,tv,Netflix,Drama,8.7,88.0,2016,4.0
Arrested Development,tv,Netflix,Comedy,8.7,88.0,2003,6.0
Arrested Development,tv,Hulu,Comedy,8.7,88.0,2003,6.0
The Haunting of Hill House,tv,Netflix,Drama,8.7,90.0,2018,2.0
The Haunting of Hill House,tv,Netflix,Mystery,8.7,90.0,2018,2.0
The Haunting of Hill House,tv,Netflix,Horror,8.7,90.0,2018,2.0
The Mandalorian,tv,Disney+,Action & Adventure,8.7,92.0,2019,2.0
The Mandalorian,tv,Disney+,Fantasy,8.7,92.0,2019,2.0
The Mandalorian,tv,Disney+,Science-Fiction,8.7,92.0,2019,2.0
Killing Eve,tv,Hulu,Action & Adventure,8.3,87.0,2018,4.0
Killing Eve,tv,Hulu,LGBTQ,8.3,87.0,2018,4.0
Killing Eve,tv,Hulu,Thriller,8.3,87.0,2018,4.0
The X-Files,tv,Hulu,Drama,8.6,87.0,1993,11.0
The X-Files,tv,Hulu,Science-Fiction,8.6,87.0,1993,11.0
The X-Files,tv,Hulu,Mystery,8.6,87.0,1993,11.0
The Flash,tv,Netflix,Drama,7.7,87.0,2014,7.0
The Flash,tv,Netflix,Action & Adventure,7.7,87.0,2014,7.0
The Flash,tv,Netflix,Fantasy,7.7,87.0,2014,7.0
This Is Us,tv,Hulu,Drama,8.7,87.0,2016,5.0
This Is Us,tv,Hulu,Comedy,8.7,87.0,2016,5.0
Orange Is the New Black,tv,Netflix,Crime,8.1,87.0,2013,7.0
Orange Is the New Black,tv,Netflix,Comedy,8.1,87.0,2013,7.0
Orange Is the New Black,tv,Netflix,LGBTQ,8.1,87.0,2013,7.0
The West Wing,tv,Netflix,Drama,8.8,85.0,1999,7.0
Marvel's Agents of S.H.I.E.L.D.,tv,Netflix,Drama,7.5,87.0,2013,7.0
Marvel's Agents of S.H.I.E.L.D.,tv,Netflix,Action & Adventure,7.5,87.0,2013,7.0
Marvel's Agents of S.H.I.E.L.D.,tv,Netflix,Fantasy,7.5,87.0,2013,7.0
Adventure Time,tv,Hulu,Action & Adventure,8.6,87.0,2010,11.0
Adventure Time,tv,Hulu,Fantasy,8.6,87.0,2010,11.0
Adventure Time,tv,Hulu,Animation,8.6,87.0,2010,11.0
Adventure Time,tv,Hulu,Children,8.6,87.0,2010,11.0
Justified,tv,Hulu,Crime,8.6,87.0,2010,6.0
Justified,tv,Hulu,Drama,8.6,87.0,2010,6.0
Justified,tv,Hulu,Action & Adventure,8.6,87.0,2010,6.0
The Legend of Korra,tv,Netflix,Action & Adventure,8.4,87.0,2012,4.0
The Legend of Korra,tv,Netflix,Animation,8.4,87.0,2012,4.0
American Crime Story,tv,Netflix,Crime,8.4,86.0,2016,4.0
American Crime Story,tv,Netflix,Drama,8.4,86.0,2016,4.0
American Crime Story,tv,Netflix,Biography,8.4,86.0,2016,4.0
Penny Dreadful,tv,Netflix,Drama,8.2,86.0,2014,4.0
Penny Dreadful,tv,Netflix,Thriller,8.2,86.0,2014,4.0
Penny Dreadful,tv,Netflix,Horror,8.2,86.0,2014,4.0
Star Trek: The Next Generation,tv,Netflix,Drama,8.6,86.0,1987,7.0
Star Trek: The Next Generation,tv,Netflix,Action & Adventure,8.6,86.0,1987,7.0
Star Trek: The Next Generation,tv,Netflix,Science-Fiction,8.6,86.0,1987,7.0
Star Trek: The Next Generation,tv,Hulu,Drama,8.6,86.0,1987,7.0
Star Trek: The Next Generation,tv,Hulu,Action & Adventure,8.6,86.0,1987,7.0
Star Trek: The Next Generation,tv,Hulu,Science-Fiction,8.6,86.0,1987,7.0
BoJack Horseman,tv,Netflix,Drama,8.7,86.0,2014,6.0
